link,tanggal
https://www.jatimnetwork.com/teknologi/437829765/cara-login-aplikasi-satu-sehat-bisa-login-di-web,2023-03-03
https://www.lintaspapua.com/kesehatan/6557831056/aplikasi-pedulilindungi-terintegrasi-ke-satusehat-demikian-layanan-kesehatan-terpadu-dalam-genggaman,2023-03-03
https://gaya.tempo.co/read/1698350/cara-gunakan-aplikasi-satu-sehat-pengganti-pedulilindungi,2023-03-03
https://ekonomi.bisnis.com/read/20230303/98/1633772/syarat-naik-pesawat-terbaru-maret-2023-usai-ada-satu-sehat,2023-03-03
https://jatimtimes.com/baca/284750/20230303/074400/peduli-lindungi-bertransformasi-satusehat-mobile-menjadi-aplikasi-yang-memudahkan-masyarakat-dengan-fitur-fitur-barunya,2023-03-03
https://www.liputan6.com/tekno/read/5223174/fungsi-website-satu-sehat-yang-gantikan-pedulilindungiid,2023-03-03
https://fraksi.pks.id/2023/03/03/data-kesehatan-pribadi-masuk-aplikasi-satu-sehat-aleg-pks-amankah-proteksinya/,2023-03-03
https://www.liputan6.com/citizen6/read/5223224/langkah-langkah-cara-melihat-sertifikat-vaksin-di-aplikasi-satu-sehat,2023-03-03
https://www.tribunnews.com/corona/2023/03/02/cara-cek-sertifikat-vaksin-di-satu-sehat-mobile-perbarui-aplikasi-pedulilindungi,2023-03-02
https://www.ayobandung.com/umum/797809221/pandemi-berakhir-aplikasi-peduli-lindungi-transformasi-nama-menjadi-satu-sehat?page=2,2023-03-02
https://dinkes.jogjaprov.go.id/berita/detail/tranformasi-digital-kesehatan-aplikasi-peduli-lindungi-bertransformasi-menjadi-aplikasi-satu-sehat,2023-03-02
https://www.kompas.id/baca/english/2023/03/02/pedulilindungi-reincarnates-into-satu-sehat-features-expanded,2023-03-02
https://tekno.kompas.com/read/2023/03/02/13150007/pengguna-satu-sehat-mobile-keluhkan-gagal-download-sertifikat-vaksin-dan,2023-03-02
